source,run_dir,method,method_label,seed,data_fraction,lambda_orbit,max_boost,relative_l2,orbit_ood_relative_l2,equivariance_defect_relative,severity
training,runs/ablations/2d_galilean_n64_paper_ladder/fraction_0.02/aug_orbit_lambda_0.05_steps_4/seed_71,aug_orbit,FNO + aug. + orbit,71,0.02,0.05,0.25,0.4692544639110565,0.4964884030632674,0.3467512344941497,
training,runs/ablations/2d_galilean_n64_5pct_lambda_0p1/fraction_0.05/aug_orbit_lambda_0.1_steps_4/seed_23,aug_orbit,FNO + aug. + orbit,23,0.05,0.1,0.25,0.223298997618258,0.2451450994703918,0.1544037713902071,
training,runs/ablations/2d_galilean_n64_5pct_lambda_0p1/fraction_0.05/aug_orbit_lambda_0.1_steps_4/seed_31,aug_orbit,FNO + aug. + orbit,31,0.05,0.1,0.25,0.2156068282201886,0.244810706237331,0.161932012764737,
training,runs/ablations/2d_galilean_n64_5pct_lambda_0p1/fraction_0.05/aug_orbit_lambda_0.1_steps_4/seed_47,aug_orbit,FNO + aug. + orbit,47,0.05,0.1,0.25,0.2390454532578587,0.2644071052782237,0.1699680283199995,
training,runs/ablations/2d_galilean_n64_2pct_headline_5seed/fraction_0.02/baseline_steps_4/seed_23,baseline,FNO,23,0.02,0.05,0.25,0.895914651453495,0.9237736761569976,0.6778834192082286,
training,runs/ablations/2d_galilean_n64_2pct_headline_5seed/fraction_0.02/baseline_steps_4/seed_31,baseline,FNO,31,0.02,0.05,0.25,0.9457838870584964,0.9761073719710112,0.7006449131295085,
training,runs/ablations/2d_galilean_n64_2pct_headline_5seed/fraction_0.02/baseline_steps_4/seed_47,baseline,FNO,47,0.02,0.05,0.25,0.9447278007864952,0.96479656919837,0.7253092098981142,
training,runs/ablations/2d_galilean_n64_2pct_headline_5seed/fraction_0.02/baseline_steps_4/seed_59,baseline,FNO,59,0.02,0.05,0.25,0.9437103047966956,0.9745726296678184,0.6915507297962904,
training,runs/ablations/2d_galilean_n64_2pct_headline_5seed/fraction_0.02/baseline_steps_4/seed_71,baseline,FNO,71,0.02,0.05,0.25,0.9132923185825348,0.944777823984623,0.6984689962118864,
training,runs/ablations/2d_galilean_n64_2pct_headline_5seed/fraction_0.02/orbit_lambda_0.05_steps_4/seed_23,orbit,FNO + orbit,23,0.02,0.05,0.25,0.450375460088253,0.4769283682107925,0.3231802578084171,
training,runs/ablations/2d_galilean_n64_2pct_headline_5seed/fraction_0.02/orbit_lambda_0.05_steps_4/seed_31,orbit,FNO + orbit,31,0.02,0.05,0.25,0.4718052111566067,0.5040640388615429,0.3410155344754457,
training,runs/ablations/2d_galilean_n64_2pct_headline_5seed/fraction_0.02/orbit_lambda_0.05_steps_4/seed_47,orbit,FNO + orbit,47,0.02,0.05,0.25,0.4827473238110542,0.5067935595288873,0.3363608145155012,
training,runs/ablations/2d_galilean_n64_2pct_headline_5seed/fraction_0.02/orbit_lambda_0.05_steps_4/seed_59,orbit,FNO + orbit,59,0.02,0.05,0.25,0.4062960166484117,0.4477847889065742,0.3177948663942516,
training,runs/ablations/2d_galilean_n64_2pct_headline_5seed/fraction_0.02/orbit_lambda_0.05_steps_4/seed_71,orbit,FNO + orbit,71,0.02,0.05,0.25,0.5118990279734135,0.5403324980288744,0.3612645315006375,
